Text_Type,Book,Chapter,Window,GLL,LLG,L,GGL,GLG,GGG,G,LGG,LGL,LLL,LG,LL,GG,GL
SN,AH-AS,-,1,11,9,1,16,24,37,21,6,31,0,0,0,0,0
SN,AH-AS,-,2,11,10,1,15,25,35,21,7,31,0,0,0,0,0
SN,AH-AS,-,3,11,9,1,15,26,35,21,7,31,0,0,0,0,0
SN,AH-AS,-,4,11,10,2,16,25,33,20,8,31,0,0,0,0,0
SN,AH-AS,-,5,11,11,3,17,26,31,19,7,31,0,0,0,0,0
SN,AH-AS,-,6,10,13,3,16,26,29,20,6,31,0,0,0,0,0
SN,AH-AS,-,7,10,13,3,15,26,29,20,7,31,0,0,0,0,0
SN,AH-AS,-,8,10,13,3,15,26,29,20,7,31,0,0,0,0,0
SN,AH-AS,-,9,10,14,3,16,25,30,20,6,30,0,0,0,0,0
SN,AH-AS,-,10,11,14,3,15,25,29,20,7,30,0,0,0,0,0
SN,AH-AS,-,11,11,13,3,15,24,29,20,7,32,0,0,0,0,0
SN,AH-AS,-,12,10,14,3,16,24,28,20,8,31,0,0,0,0,0
SN,AH-AS,-,13,10,14,4,15,24,29,19,8,31,0,0,0,0,0
SN,AH-AS,-,14,8,14,5,15,25,31,18,8,30,0,0,0,0,0
SN,AH-AS,-,15,8,15,5,16,26,33,17,8,28,0,0,0,0,0
SN,AH-AS,-,16,8,15,5,16,26,33,17,8,28,0,0,0,0,0
SN,AH-AS,-,17,7,14,5,17,25,34,17,10,27,0,0,0,0,0
SN,AH-AS,-,18,7,14,5,17,27,34,17,10,25,0,0,0,0,0
SN,AH-AS,-,19,7,13,4,18,30,33,17,12,24,0,0,0,0,0
SN,AH-AS,-,20,8,13,4,16,32,32,17,12,24,0,0,0,0,0
SN,AH-AS,-,21,8,13,4,16,33,31,17,13,23,0,0,0,0,0
SN,AH-AS,-,22,7,12,4,16,33,29,18,13,24,0,0,0,0,0
SN,AH-AS,-,23,8,12,4,15,35,28,17,15,24,0,0,0,0,0
SN,AH-AS,-,24,6,12,4,15,34,27,18,15,25,0,0,0,0,0
SN,AH-AS,-,25,5,13,4,16,32,27,18,17,24,0,0,0,0,0
SN,AH-AS,-,26,4,13,4,16,34,27,18,16,24,0,0,0,0,0
SN,AH-AS,-,27,4,12,4,18,34,27,18,15,24,0,0,0,0,0
SN,AH-AS,-,28,4,12,4,20,32,26,18,15,25,0,0,0,0,0
SN,AH-AS,-,29,4,11,3,18,33,27,19,14,27,0,0,0,0,0
SN,AH-AS,-,30,4,11,2,18,33,27,20,14,27,0,0,0,0,0
SN,AH-AS,-,31,4,10,2,19,33,28,20,13,27,0,0,0,0,0
SN,AH-AS,-,32,4,10,2,19,35,26,20,12,28,0,0,0,0,0
SN,AH-AS,-,33,4,10,2,20,35,25,20,12,28,0,0,0,0,0
SN,AH-AS,-,34,4,9,2,20,37,24,20,12,28,0,0,0,0,0
SN,AH-AS,-,35,4,9,2,21,37,23,20,11,29,0,0,0,0,0
SN,AH-AS,-,36,4,8,2,22,37,22,20,12,29,0,0,0,0,0
SN,AH-AS,-,37,5,8,2,22,36,24,19,12,30,0,0,0,0,0
SN,AH-AS,-,38,6,9,1,21,35,24,20,12,30,0,0,0,0,0
SN,AH-AS,-,39,7,9,1,22,34,22,20,12,30,1,0,0,0,0
SN,AH-AS,-,40,8,8,1,21,32,20,21,13,31,1,0,0,0,0
SN,AH-AS,-,41,8,7,1,21,36,19,20,14,30,2,0,0,0,0
SN,AH-AS,-,42,8,8,1,20,36,19,20,13,31,2,0,0,0,0
SN,AH-AS,-,43,8,8,1,22,36,20,19,14,30,2,0,0,0,0
SN,AH-AS,-,44,9,8,2,21,34,20,19,13,30,2,0,0,0,0
SN,AH-AS,-,45,8,10,2,22,32,22,18,17,29,2,1,0,0,0
SN,AH-AS,-,46,7,10,2,24,31,23,18,17,28,2,1,0,0,0
SN,AH-AS,-,47,8,10,2,25,31,23,17,19,27,2,1,0,0,0
SN,AH-AS,-,48,8,9,2,25,28,24,18,18,28,2,1,0,0,0
SN,AH-AS,-,49,8,8,2,26,31,23,17,19,28,2,1,0,0,0
SN,AH-AS,-,50,8,7,2,25,32,24,17,18,29,2,1,0,0,0
SN,AH-AS,-,51,8,7,2,28,35,25,16,20,31,2,1,0,0,0
SN,AH-AS,-,52,8,7,2,27,36,25,16,20,31,2,1,0,0,0
SN,AH-AS,-,53,8,7,2,25,38,24,16,22,30,2,1,0,0,0
SN,AH-AS,-,54,8,7,2,25,39,23,16,23,29,2,1,0,0,0
SN,AH-AS,-,55,8,6,2,26,39,23,16,23,29,2,1,0,0,0
SN,AH-AS,-,56,9,6,2,26,38,23,16,23,29,2,1,0,0,0
SN,AH-AS,-,57,10,7,2,26,38,23,15,25,28,2,1,0,0,0
SN,AH-AS,-,58,10,9,3,24,38,23,14,25,28,2,1,0,0,0
SN,AH-AS,-,59,10,9,3,23,37,25,14,25,28,2,1,0,0,0
SN,AH-AS,-,60,9,9,4,22,38,27,13,25,27,2,1,0,0,0
SN,AH-AS,-,61,10,9,4,21,40,28,12,26,26,2,1,0,0,0
SN,AH-AS,-,62,10,8,5,21,39,27,12,26,26,2,1,0,0,0
SN,AH-AS,-,63,10,7,5,21,38,28,12,26,27,2,1,0,0,0
SN,AH-AS,-,64,9,7,4,20,39,28,13,26,29,1,1,0,0,0
SN,AH-AS,-,65,8,9,4,20,39,28,13,25,29,1,1,0,0,0
SN,AH-AS,-,66,8,9,4,20,36,29,14,24,30,0,1,0,0,0
SN,AH-AS,-,67,8,9,4,20,36,31,14,23,29,0,1,0,0,0
SN,AH-AS,-,68,9,9,4,17,35,30,15,23,30,0,1,0,0,0
SN,AH-AS,-,69,8,9,3,18,35,30,16,23,30,0,1,0,0,0
SN,AH-AS,-,70,8,8,3,17,35,29,17,20,31,0,0,0,0,0
SN,AH-AS,-,71,9,8,3,15,37,28,17,19,32,0,0,0,0,0
SN,AH-AS,-,72,8,8,3,13,35,27,18,17,32,0,0,0,0,0
SN,AH-AS,-,73,8,8,3,13,36,27,18,17,31,0,0,0,0,0
SN,AH-AS,-,74,8,8,3,13,32,27,19,17,32,0,0,0,0,0
SN,AH-AS,-,75,8,8,3,14,31,25,19,18,33,0,0,0,0,0
SN,AH-AS,-,76,8,8,3,11,27,25,20,16,31,0,0,0,0,0
SN,AH-AS,-,77,8,8,3,11,26,26,20,16,31,0,0,0,0,0
SN,AH-AS,-,78,8,8,3,11,25,27,20,15,32,0,0,0,0,0
SN,AH-AS,-,79,9,9,3,11,24,28,20,14,31,0,0,0,0,0
SN,AH-AS,-,80,9,9,3,10,25,27,20,15,31,0,0,0,0,0
SN,AH-AS,-,81,9,9,3,9,26,28,19,17,31,0,0,0,0,0
SN,AH-AS,-,82,8,8,3,9,24,29,20,16,32,0,0,0,0,0
SN,AH-AS,-,83,10,6,2,10,24,28,20,17,34,0,0,0,0,0
SN,AH-AS,-,84,10,6,2,11,26,25,20,17,34,0,0,0,0,0
SN,AH-AS,-,85,11,7,1,11,26,23,21,17,34,0,0,0,0,0
SN,AH-AS,-,86,11,8,1,11,24,22,22,16,34,0,0,0,0,0
SN,AH-AS,-,87,10,8,0,11,25,21,23,16,35,0,0,0,0,0
SN,AH-AS,-,88,10,8,0,11,27,19,23,16,35,0,0,0,0,0
SN,AH-AS,-,89,11,8,0,11,26,21,23,16,33,0,0,0,0,0
SN,AH-AS,-,90,12,7,0,13,25,21,23,15,33,0,0,0,0,0
SN,AH-AS,-,91,12,7,0,13,24,21,23,15,34,0,0,0,0,0
SN,AH-AS,-,92,13,6,1,13,26,19,22,15,34,0,0,0,0,0
SN,AH-AS,-,93,13,6,1,14,27,19,21,15,35,0,0,0,0,0
SN,AH-AS,-,94,14,6,1,14,26,18,21,15,36,0,0,0,0,0
SN,AH-AS,-,95,14,6,1,15,26,18,21,14,36,0,0,0,0,0
SN,AH-AS,-,96,13,6,1,15,26,20,21,14,35,0,0,0,0,0
SN,AH-AS,-,97,13,7,1,15,26,22,21,15,36,0,0,0,0,0
SN,AH-AS,-,98,12,7,1,15,27,22,21,14,37,0,0,0,0,0
SN,AH-AS,-,99,12,7,1,15,28,23,21,13,36,0,0,0,0,0
SN,AH-AS,-,100,12,8,1,15,28,24,21,11,36,0,0,0,0,0
SN,AH-AS,-,101,12,9,1,14,29,22,21,12,36,0,0,0,0,0
SN,AH-AS,-,102,12,10,2,15,28,21,20,12,36,0,0,0,0,0
SN,AH-AS,-,103,13,11,2,16,31,21,19,11,34,0,0,0,0,0
SN,AH-AS,-,104,12,10,2,17,31,21,19,12,34,0,0,0,0,0
SN,AH-AS,-,105,12,11,2,17,30,21,19,12,34,0,0,0,0,0
SN,AH-AS,-,106,11,10,2,17,31,20,20,10,35,0,0,0,0,0
SN,AH-AS,-,107,11,10,2,18,31,19,20,9,36,0,0,0,0,0
SN,AH-AS,-,108,9,10,2,18,32,20,21,8,34,0,0,0,0,0
SN,AH-AS,-,109,9,10,2,17,30,22,21,9,34,0,0,0,0,0
SN,AH-AS,-,110,8,9,2,17,29,23,21,10,35,0,0,0,0,0
SN,AH-AS,-,111,7,8,2,18,29,24,21,10,35,0,0,0,0,0
SN,AH-AS,-,112,7,8,3,18,29,25,20,10,34,0,0,0,0,0
SN,AH-AS,-,113,8,9,3,18,29,25,19,13,32,0,0,0,0,0
SN,AH-AS,-,114,7,10,3,18,30,24,19,13,32,0,0,0,0,0
SN,AH-AS,-,115,6,10,3,17,32,27,18,15,32,0,0,1,0,0
SN,AH-AS,-,116,6,11,3,20,31,25,18,15,31,0,0,1,0,0
SN,AH-AS,-,117,5,11,2,22,30,25,19,15,31,0,0,1,0,0
SN,AH-AS,-,118,5,11,2,23,28,24,20,14,30,1,0,1,0,0
SN,AH-AS,-,119,5,13,2,24,28,28,19,14,28,1,1,1,0,0
SN,AH-AS,-,120,5,12,2,23,28,29,19,15,28,1,1,1,0,0
SN,AH-AS,-,121,5,12,2,25,26,28,19,15,29,1,1,1,0,0
SN,AH-AS,-,122,5,11,2,26,28,27,19,14,29,1,1,1,0,0
SN,AH-AS,-,123,6,11,2,26,27,27,19,14,29,1,1,1,0,0
SN,AH-AS,-,124,6,12,2,26,26,27,19,14,29,1,1,1,0,0
SN,AH-AS,-,125,6,12,2,25,28,26,19,14,29,1,1,1,0,0
SN,AH-AS,-,126,8,11,2,26,26,26,19,13,29,2,1,1,0,0
SN,AH-AS,-,127,8,11,1,25,26,26,20,13,30,2,1,1,0,0
SN,AH-AS,-,128,8,10,1,25,23,26,21,13,31,2,1,1,0,0
SN,AH-AS,-,129,8,10,1,24,24,26,21,12,32,2,1,1,0,0
SN,AH-AS,-,130,8,9,1,23,24,27,21,12,33,2,1,1,0,0
SN,AH-AS,-,131,8,9,2,24,24,27,20,12,32,2,1,1,0,0
SN,AH-AS,-,132,8,10,2,25,23,27,20,13,30,2,1,1,0,0
SN,AH-AS,-,133,8,11,2,25,22,26,20,14,30,2,1,1,0,0
SN,AH-AS,-,134,8,12,3,26,22,25,19,13,30,2,1,1,0,0
SN,AH-AS,-,135,8,13,3,28,21,24,19,12,30,2,1,1,0,0
SN,AH-AS,-,136,8,13,3,26,22,24,19,12,31,2,1,1,0,0
SN,AH-AS,-,137,8,13,2,26,21,25,20,12,31,2,1,1,0,0
SN,AH-AS,-,138,7,12,2,27,20,25,21,9,33,2,1,1,0,0
SN,AH-AS,-,139,7,11,2,26,20,26,21,10,33,2,1,1,0,0
SN,AH-AS,-,140,7,10,2,28,18,23,22,9,33,2,1,0,0,0
SN,AH-AS,-,141,7,9,2,27,19,23,22,10,33,2,1,0,0,0
SN,AH-AS,-,142,7,9,2,26,21,22,22,10,33,2,1,0,0,0
SN,AH-AS,-,143,6,10,2,25,22,23,22,10,33,1,1,0,0,0
SN,AH-AS,-,144,5,8,3,25,22,19,22,11,34,1,0,0,0,0
SN,AH-AS,-,145,7,9,3,25,22,17,22,10,34,1,0,0,0,0
SN,AH-AS,-,146,7,10,3,25,22,16,22,11,33,1,0,0,0,0
SN,AH-AS,-,147,7,11,3,24,21,17,22,11,33,1,0,0,0,0
SN,AH-AS,-,148,6,12,3,24,21,18,22,11,32,1,0,0,0,0
SN,AH-AS,-,149,7,12,3,23,23,17,21,13,32,1,0,0,0,0
SN,AH-AS,-,150,7,12,3,24,22,18,21,13,31,1,0,0,0,0
SN,AH-AS,-,151,5,12,3,23,23,20,21,14,31,0,0,0,0,0
SN,AH-AS,-,152,5,11,3,24,23,20,21,15,30,0,0,0,0,0
SN,AH-AS,-,153,4,13,3,24,22,19,21,15,31,0,0,0,0,0
SN,AH-AS,-,154,4,15,3,25,20,18,21,15,31,0,0,0,0,0
SN,AH-AS,-,155,5,17,3,25,20,18,21,14,30,1,0,0,0,0
SN,AH-AS,-,156,6,19,3,24,19,18,21,14,30,2,0,0,0,0
SN,AH-AS,-,157,6,19,3,23,21,18,20,14,31,2,0,0,0,0
SN,AH-AS,-,158,7,20,3,24,21,18,19,13,31,2,0,0,0,0
SN,AH-AS,-,159,9,20,2,24,22,17,19,15,33,2,0,0,0,0
SN,AH-AS,-,160,9,20,2,22,24,17,19,16,33,3,0,0,0,0
SN,AH-AS,-,161,10,20,2,23,25,17,19,15,33,3,0,0,0,0
SN,AH-AS,-,162,11,20,2,23,27,16,19,14,34,3,0,0,0,0
SN,AH-AS,-,163,12,20,2,25,27,16,18,15,34,3,0,0,0,0
SN,AH-AS,-,164,12,20,2,25,27,17,18,14,34,3,0,0,0,0
SN,AH-AS,-,165,13,20,2,23,28,17,18,13,35,3,0,0,0,0
SN,AH-AS,-,166,13,20,2,23,27,17,18,12,37,3,0,0,0,0
SN,AH-AS,-,167,13,22,2,23,25,17,17,13,39,3,0,0,0,0
SN,AH-AS,-,168,13,21,2,24,24,17,17,14,39,3,0,0,0,0
SN,AH-AS,-,169,14,21,1,22,25,18,18,12,40,3,0,0,0,0
SN,AH-AS,-,170,12,20,1,23,24,19,18,13,41,3,0,0,0,0
SN,AH-AS,-,171,13,19,1,21,25,20,18,13,41,3,0,0,0,0
SN,AH-AS,-,172,13,19,1,23,24,18,18,14,41,3,0,0,0,0
SN,AH-AS,-,173,13,19,1,26,23,16,18,14,41,3,0,0,0,0
SN,AH-AS,-,174,12,19,1,28,22,15,19,12,41,3,0,0,0,0
SN,AH-AS,-,175,12,20,1,27,21,16,19,12,41,3,0,0,0,0
SN,AH-AS,-,176,12,20,1,27,21,17,19,11,41,3,0,0,0,0
SN,AH-AS,-,177,12,20,1,26,22,18,19,10,41,3,0,0,0,0
SN,AH-AS,-,178,12,18,1,25,22,18,19,10,39,3,0,0,0,0
SN,AH-AS,-,179,12,16,1,26,22,19,19,11,38,3,0,0,0,0
SN,AH-AS,-,180,11,15,1,27,22,18,19,11,39,2,0,0,0,0
SN,AH-AS,-,181,10,13,0,27,22,18,20,13,39,1,0,0,0,0
SN,AH-AS,-,182,10,13,0,28,21,18,21,12,38,1,0,0,0,0
SN,AH-AS,-,183,9,12,0,27,21,19,22,12,38,1,0,0,0,0
SN,AH-AS,-,184,7,11,0,26,20,20,23,11,37,1,0,0,0,0
SN,AH-AS,-,185,7,11,0,27,19,21,23,10,36,0,0,0,0,0
SN,AH-AS,-,186,7,11,0,26,18,21,23,11,35,0,0,0,0,0
SN,AH-AS,-,187,6,13,0,28,18,21,22,12,34,0,1,0,0,0
SN,AH-AS,-,188,5,13,0,25,17,21,23,12,35,0,1,0,0,0
SN,AH-AS,-,189,6,14,0,26,16,19,23,12,35,0,1,0,0,0
SN,AH-AS,-,190,5,14,0,26,15,21,23,13,34,0,1,0,0,0
SN,AH-AS,-,191,5,14,0,25,17,22,23,13,32,0,1,0,0,0
SN,AH-AS,-,192,5,12,0,24,19,23,24,12,30,0,1,0,0,0
SN,AH-AS,-,193,5,12,1,25,20,22,23,11,30,0,1,0,0,0
SN,AH-AS,-,194,4,12,1,26,20,24,23,11,28,0,1,0,0,0
SN,AH-AS,-,195,5,12,1,26,22,26,22,10,27,0,1,0,0,0
SN,AH-AS,-,196,4,12,1,26,22,27,22,9,28,0,1,0,0,0
SN,AH-AS,-,197,5,12,1,25,22,27,22,9,28,0,1,0,0,0
SN,AH-AS,-,198,5,11,1,22,23,29,22,9,29,0,1,0,0,0
SN,AH-AS,-,199,5,10,1,21,22,31,22,9,30,0,1,0,0,0
SN,AH-AS,-,200,5,8,1,21,23,31,22,10,30,0,1,0,0,0
SN,AH-AS,-,201,5,9,1,21,23,29,22,11,30,0,1,0,0,0
SN,AH-AS,-,202,5,9,1,20,24,27,22,13,30,0,1,0,0,0
SN,AH-AS,-,203,5,9,1,22,25,28,22,13,31,0,1,0,0,0
SN,AH-AS,-,204,5,9,1,21,25,28,22,12,33,0,1,0,0,0
SN,AH-AS,-,205,6,8,1,20,25,30,22,12,32,0,1,0,0,0
SN,AH-AS,-,206,7,9,1,21,25,29,22,10,32,0,1,0,0,0
SN,AH-AS,-,207,7,8,1,20,25,30,22,10,33,0,1,0,0,0
SN,AH-AS,-,208,7,7,1,19,26,31,22,10,33,0,1,0,0,0
SN,AH-AS,-,209,7,7,1,23,28,30,21,10,31,0,1,0,0,0
SN,AH-AS,-,210,7,6,1,22,29,31,21,10,31,0,1,0,0,0
SN,AH-AS,-,211,7,7,1,22,28,32,21,9,31,0,1,0,0,0
SN,AH-AS,-,212,8,5,1,19,27,32,22,9,31,0,0,0,0,0
SN,AH-AS,-,213,10,5,1,19,29,33,21,10,28,0,0,0,0,0
SN,AH-AS,-,214,10,4,1,18,29,34,21,10,29,0,0,0,0,0
SN,AH-AS,-,215,10,4,1,18,29,32,21,9,31,1,0,0,0,0
SN,AH-AS,-,216,10,4,1,18,27,31,21,10,32,2,0,0,0,0
SN,AH-AS,-,217,10,4,1,18,25,31,21,12,32,2,0,0,0,0
SN,AH-AS,-,218,12,5,0,15,25,31,22,12,32,2,0,0,0,0
SN,AH-AS,-,219,12,6,0,15,25,28,22,12,34,2,0,0,0,0
SN,AH-AS,-,220,11,6,0,16,24,25,23,13,34,2,0,0,0,0
SN,AH-AS,-,221,11,6,0,18,25,23,23,13,33,2,0,0,0,0
SN,AH-AS,-,222,10,5,0,19,25,23,23,14,33,2,0,0,0,0
SN,AH-AS,-,223,10,6,0,19,24,23,23,14,33,2,0,0,0,0
SN,AH-AS,-,224,10,6,0,19,25,22,23,15,32,2,0,0,0,0
SN,AH-AS,-,225,10,6,0,19,25,23,23,14,32,2,0,0,0,0
SN,AH-AS,-,226,10,5,0,20,25,23,23,13,33,2,0,0,0,0
SN,AH-AS,-,227,10,6,0,22,27,25,23,11,36,2,0,0,0,0
SN,AH-AS,-,228,11,6,0,21,27,24,23,12,36,2,0,0,0,0
SN,AH-AS,-,229,12,6,0,21,27,24,23,13,34,2,0,0,0,0
SN,AH-AS,-,230,12,6,0,21,27,23,23,14,34,2,0,0,0,0
SN,AH-AS,-,231,12,5,0,20,27,24,23,14,35,2,0,0,0,0
SN,AH-AS,-,232,13,5,0,19,27,24,23,15,34,2,0,0,0,0
SN,AH-AS,-,233,13,6,0,19,27,22,23,16,34,2,0,0,0,0
SN,AH-AS,-,234,13,6,0,15,25,25,24,15,35,2,0,0,0,0
SN,AH-AS,-,235,13,7,0,15,23,25,24,15,36,2,0,0,0,0
SN,AH-AS,-,236,12,6,0,17,24,25,24,15,35,2,0,0,0,0
SN,AH-AS,-,237,12,7,0,17,23,26,24,14,35,2,0,0,0,0
SN,AH-AS,-,238,9,7,0,19,23,25,25,13,35,2,0,0,0,0
SN,AH-AS,-,239,8,8,0,20,23,24,25,13,35,2,0,0,0,0
SN,AH-AS,-,240,8,8,0,20,23,26,25,13,34,1,0,0,0,0
SN,AH-AS,-,241,8,8,0,19,25,27,25,13,33,0,0,0,0,0
SN,AH-AS,-,242,8,8,0,19,24,30,25,11,33,0,0,0,0,0
SN,AH-AS,-,243,6,7,0,19,25,30,25,13,33,0,0,0,0,0
SN,AH-AS,-,244,6,7,0,19,24,31,25,14,32,0,0,0,0,0
SN,AH-AS,-,245,7,7,0,17,23,31,25,14,34,0,0,0,0,0
SN,AH-AS,-,246,8,7,0,15,22,32,25,14,35,0,0,0,0,0
SN,AH-AS,-,247,8,8,0,13,24,33,25,12,35,0,0,0,0,0
SN,AH-AS,-,248,8,7,1,13,25,34,24,12,34,0,0,0,0,0
SN,AH-AS,-,249,8,10,1,12,25,37,23,12,34,0,1,0,0,0
SN,AH-AS,-,250,8,11,1,13,25,35,23,12,34,0,1,0,0,0
SN,AH-AS,-,251,8,11,1,13,25,35,23,12,34,0,1,0,0,0
SN,AH-AS,-,252,9,10,1,11,22,34,23,12,32,0,1,0,0,0
SN,AH-AS,-,253,9,11,1,11,21,34,23,12,32,0,1,0,0,0
SN,AH-AS,-,254,9,11,1,11,21,34,23,12,32,0,1,0,0,0
SN,AH-AS,-,255,10,12,1,12,21,33,22,13,32,0,1,0,0,0
SN,AH-AS,-,256,9,12,1,12,22,32,22,14,32,0,1,0,0,0
SN,AH-AS,-,257,9,12,1,13,24,31,21,14,33,0,1,0,0,0
SN,AH-AS,-,258,9,11,1,14,23,33,21,13,33,0,1,0,0,0
SN,AH-AS,-,259,9,12,1,15,23,31,21,13,33,0,1,0,0,0
SN,AH-AS,-,260,9,11,1,15,25,30,21,14,32,0,1,0,0,0
SN,AH-AS,-,261,11,12,1,14,25,30,20,15,32,0,1,0,0,0
SN,AH-AS,-,262,10,12,1,14,27,28,20,16,32,0,1,0,0,0
SN,AH-AS,-,263,10,12,1,14,27,28,20,15,33,0,1,0,0,0
SN,AH-AS,-,264,10,12,1,15,28,27,20,15,32,0,1,0,0,0
SN,AH-AS,-,265,11,13,1,17,30,25,19,16,30,0,1,0,0,0
SN,AH-AS,-,266,12,13,1,17,29,24,19,15,32,0,1,0,0,0
SN,AH-AS,-,267,12,13,1,20,29,21,19,15,32,0,1,0,0,0
SN,AH-AS,-,268,12,13,1,21,28,23,19,13,32,0,1,0,0,0
SN,AH-AS,-,269,12,12,1,23,28,22,19,13,32,0,1,0,0,0
SN,AH-AS,-,270,11,14,1,24,28,23,19,12,30,0,1,0,0,0
SN,AH-AS,-,271,10,14,1,24,29,24,18,15,29,0,1,0,0,0
SN,AH-AS,-,272,10,13,1,24,30,23,18,15,30,0,1,0,0,0
SN,AH-AS,-,273,12,13,0,25,31,20,18,18,29,0,1,0,0,0
SN,AH-AS,-,274,12,10,0,25,31,17,19,19,29,0,0,0,0,0
SN,AH-AS,-,275,13,10,0,24,32,17,18,20,28,2,0,0,0,0
SN,AH-AS,-,276,13,11,0,24,32,17,18,20,27,2,0,0,0,0
SN,AH-AS,-,277,12,11,1,25,33,16,17,21,26,2,0,0,0,0
SN,AH-AS,-,278,11,10,1,24,33,16,17,20,25,2,0,0,0,0
SN,AH-AS,-,279,10,10,1,23,35,16,17,20,25,2,0,0,0,0
SN,AH-AS,-,280,8,9,1,23,36,17,18,18,25,2,0,0,0,0
SN,AH-AS,-,281,8,9,1,23,37,22,17,17,25,2,1,0,0,0
SN,AH-AS,-,282,7,10,1,22,34,23,18,17,25,2,1,0,0,0
SN,AH-AS,-,283,9,11,1,21,34,23,17,19,24,2,1,0,0,0
SN,AH-AS,-,284,9,10,1,21,34,24,17,19,24,2,1,0,0,0
SN,AH-AS,-,285,9,11,1,22,32,23,17,19,25,2,1,0,0,0
SN,AH-AS,-,286,7,10,1,23,32,22,18,18,26,2,1,0,0,0
SN,AH-AS,-,287,9,11,1,24,31,22,17,18,26,2,1,0,0,0
SN,AH-AS,-,288,9,12,1,23,30,22,17,18,27,2,1,0,0,0
SN,AH-AS,-,289,9,12,1,22,30,23,17,18,27,2,1,0,0,0
SN,AH-AS,-,290,8,11,1,21,29,23,18,18,28,2,1,0,0,0
SN,AH-AS,-,291,8,11,1,22,30,23,18,18,26,2,1,0,0,0
SN,AH-AS,-,292,8,11,1,21,30,23,18,19,26,2,1,0,0,0
SN,AH-AS,-,293,8,11,1,21,33,23,17,19,25,3,1,0,0,0
SN,AH-AS,-,294,8,11,1,21,33,24,17,18,25,3,1,0,0,0
SN,AH-AS,-,295,8,10,1,20,34,25,17,18,25,3,1,0,0,0
SN,AH-AS,-,296,8,10,1,21,34,23,18,15,26,3,1,0,0,0
SN,AH-AS,-,297,8,10,1,22,32,23,18,16,26,3,1,0,0,0
SN,AH-AS,-,298,7,10,1,21,31,25,19,13,27,3,1,0,0,0
SN,AH-AS,-,299,7,12,1,25,31,26,19,14,27,3,1,0,0,0
SN,AH-AS,-,300,6,12,1,25,30,27,20,13,28,1,1,0,0,0
SN,AH-AS,-,301,6,12,1,25,30,26,20,13,29,1,1,0,0,0
SN,AH-AS,-,302,6,12,0,25,28,27,21,13,30,1,1,0,0,0
SN,AH-AS,-,303,7,12,0,25,29,28,21,14,31,1,1,0,0,0
SN,AH-AS,-,304,7,13,0,26,27,29,21,13,31,1,1,0,0,0
SN,AH-AS,-,305,8,13,0,25,25,30,21,13,32,1,1,0,0,0
SN,AH-AS,-,306,8,13,0,27,22,26,22,13,32,1,0,0,0,0
SN,AH-AS,-,307,8,13,0,27,23,27,22,12,31,1,0,0,0,0
SN,AH-AS,-,308,6,13,0,28,23,25,23,11,32,1,0,0,0,0
SN,AH-AS,-,309,6,13,0,29,24,23,23,11,32,1,0,0,0,0
SN,AH-AS,-,310,6,12,0,28,26,25,23,10,31,1,0,0,0,0
SN,AH-AS,-,311,6,12,0,26,27,26,22,15,31,1,0,1,0,0
SN,AH-AS,-,312,4,11,0,26,26,27,23,15,31,1,0,1,0,0
SN,AH-AS,-,313,4,11,0,27,25,27,23,16,30,1,0,1,0,0
SN,AH-AS,-,314,4,11,0,27,26,26,23,16,30,1,0,1,0,0
SN,AH-AS,-,315,5,13,0,27,26,27,22,17,30,1,1,1,0,0
SN,AH-AS,-,316,4,13,0,27,25,28,22,18,30,1,1,1,0,0
SN,AH-AS,-,317,4,14,0,27,29,29,21,17,30,1,2,1,0,0
SN,AH-AS,-,318,6,14,0,26,26,27,22,17,32,0,2,1,0,0
SN,AH-AS,-,319,9,15,0,23,28,27,21,18,31,0,2,1,0,0
SN,AH-AS,-,320,9,15,0,24,27,26,21,18,32,0,2,1,0,0
SN,AH-AS,-,321,9,15,0,23,28,27,21,18,31,0,2,1,0,0
SN,AH-AS,-,322,9,16,0,22,28,29,21,17,30,0,2,1,0,0
SN,AH-AS,-,323,8,17,0,23,27,29,21,17,30,0,2,1,0,0
SN,AH-AS,-,324,8,15,0,19,28,29,21,14,30,0,2,1,0,0
SN,AH-AS,-,325,8,14,0,19,29,29,21,14,30,0,2,1,0,0
SN,AH-AS,-,326,8,13,0,18,30,29,21,15,30,0,2,1,0,0
SN,AH-AS,-,327,8,14,0,17,32,28,21,14,30,0,2,1,0,0
SN,AH-AS,-,328,8,15,0,17,32,28,21,13,30,0,2,1,0,0
SN,AH-AS,-,329,8,15,0,19,33,27,20,14,30,0,2,1,0,0
SN,AH-AS,-,330,7,16,0,20,34,26,20,14,29,0,2,1,0,0
SN,AH-AS,-,331,8,16,0,18,34,26,20,15,29,0,2,1,0,0
SN,AH-AS,-,332,9,15,0,18,34,25,20,16,29,0,2,1,0,0
SN,AH-AS,-,333,10,15,0,17,34,30,19,16,29,0,3,1,0,0
SN,AH-AS,-,334,10,15,0,15,33,33,19,16,29,0,3,1,0,0
SN,AH-AS,-,335,10,18,0,16,32,32,18,18,30,0,3,1,0,0
SN,AH-AS,-,336,13,20,0,16,30,31,19,14,29,0,3,0,0,0
SN,AH-AS,-,337,16,19,0,17,31,31,18,14,29,0,3,0,0,0
SN,AH-AS,-,338,16,18,0,15,33,32,18,14,29,0,3,0,0,0
SN,AH-AS,-,339,16,17,0,14,32,33,18,16,29,0,3,0,0,0
