Text_Type,Book,Chapter,Window,GLL,G,LGL,GLG,LGG,LLG,GGL,L,GGG,LLL,LG,GL,GG,LL
SN,AH,shareera,1,5,22,31,26,6,10,16,1,37,0,0,0,0,0
SN,AH,shareera,2,5,22,32,26,6,10,17,1,35,0,0,0,0,0
SN,AH,shareera,3,4,21,33,25,7,10,18,2,34,0,0,0,0,0
SN,AH,shareera,4,4,22,34,23,5,10,18,2,34,0,0,0,0,0
SN,AH,shareera,5,4,22,33,24,5,10,19,2,33,0,0,0,0,0
SN,AH,shareera,6,4,22,32,25,5,10,18,2,34,0,0,0,0,0
SN,AH,shareera,7,4,22,32,24,6,10,18,2,34,0,0,0,0,0
SN,AH,shareera,8,4,22,33,24,7,9,18,2,33,0,0,0,0,0
SN,AH,shareera,9,5,21,32,26,9,9,19,2,31,0,0,0,0,0
SN,AH,shareera,10,5,21,32,27,9,7,20,2,31,0,0,0,0,0
SN,AH,shareera,11,5,20,33,27,9,7,21,3,29,0,0,0,0,0
SN,AH,shareera,12,5,20,33,26,9,8,20,3,30,0,0,0,0,0
SN,AH,shareera,13,7,19,31,28,10,7,19,3,32,0,0,0,0,0
SN,AH,shareera,14,7,19,30,29,10,6,19,3,33,0,0,0,0,0
SN,AH,shareera,15,7,19,30,27,9,7,20,3,34,0,0,0,0,0
SN,AH,shareera,16,7,19,32,26,8,6,21,3,34,0,0,0,0,0
SN,AH,shareera,17,8,19,32,26,10,8,21,2,32,0,0,0,0,0
SN,AH,shareera,18,9,19,33,24,10,8,22,2,31,0,0,0,0,0
SN,AH,shareera,19,9,18,32,25,11,8,23,2,31,1,0,0,0,0
SN,AH,shareera,20,10,18,32,24,11,7,21,2,34,1,0,0,0,0
SN,AH,shareera,21,10,17,33,24,11,7,19,3,35,1,0,0,0,0
SN,AH,shareera,22,9,18,33,23,10,8,19,3,34,1,0,0,0,0
SN,AH,shareera,23,10,17,32,24,12,9,18,3,34,1,0,0,0,0
SN,AH,shareera,24,10,17,32,25,13,9,17,3,33,1,0,0,0,0
SN,AH,shareera,25,11,17,32,24,15,9,17,3,31,1,0,0,0,0
SN,AH,shareera,26,10,17,32,24,15,8,17,3,33,1,0,0,0,0
SN,AH,shareera,27,10,16,30,26,16,9,16,3,35,1,0,0,0,0
SN,AH,shareera,28,10,17,29,26,17,10,15,2,35,1,0,0,0,0
SN,AH,shareera,29,11,17,28,26,18,9,14,2,36,1,0,0,0,0
SN,AH,shareera,30,11,17,28,25,20,9,13,2,36,1,0,0,0,0
SN,AH,shareera,31,11,16,27,26,22,9,13,2,37,1,0,0,0,0
SN,AH,shareera,32,12,16,27,26,22,9,13,2,36,1,0,0,0,0
SN,AH,shareera,33,12,15,26,27,23,9,15,2,36,1,0,0,0,0
SN,AH,shareera,34,11,16,28,24,22,9,13,2,38,1,0,0,0,0
SN,AH,shareera,35,11,16,28,23,22,9,12,2,40,1,0,0,0,0
SN,AH,shareera,36,11,16,27,24,22,9,11,2,41,1,0,0,0,0
SN,AH,shareera,37,11,15,26,25,25,8,13,2,42,1,1,0,0,0
SN,AH,shareera,38,10,16,27,24,25,8,14,2,39,1,1,0,0,0
SN,AH,shareera,39,10,16,27,22,26,9,13,2,40,1,1,0,0,0
SN,AH,shareera,40,10,16,27,24,26,8,13,2,39,1,1,0,0,0
SN,AH,shareera,41,10,16,26,26,26,8,12,2,39,1,1,0,0,0
SN,AH,shareera,42,9,17,26,27,25,6,12,2,39,1,1,0,0,0
SN,AH,shareera,43,9,16,24,30,26,6,10,3,41,1,1,0,0,0
SN,AH,shareera,44,8,16,24,28,25,6,9,4,39,0,1,0,0,0
SN,AH,shareera,45,8,15,26,30,25,6,10,4,37,0,1,0,0,0
SN,AH,shareera,46,8,15,24,30,25,6,10,3,34,0,1,0,0,0
SN,AH,shareera,47,8,14,24,31,24,5,9,3,33,0,1,1,0,0
SN,AH,shareera,48,7,14,24,29,22,4,9,3,31,0,1,1,0,0
SN,AH,shareera,49,7,14,25,30,21,4,10,3,32,0,1,1,0,0
SN,AH,shareera,50,7,14,25,30,20,4,11,3,32,0,1,1,0,0
SN,AH,shareera,51,7,14,24,31,21,4,11,3,31,0,1,1,0,0
SN,AH,shareera,52,7,15,25,29,20,3,10,3,32,0,1,1,0,0
SN,AH,shareera,53,7,14,25,32,20,2,11,3,34,0,2,1,0,0
SN,AH,shareera,54,6,14,25,32,19,2,12,3,35,0,2,1,0,0
SN,AH,shareera,55,5,13,25,32,19,4,12,3,39,0,3,1,0,0
SN,AH,shareera,56,5,14,26,30,17,5,11,3,39,0,3,1,0,0
SN,AH,shareera,57,4,14,26,30,16,6,12,3,39,0,3,1,0,0
SN,AH,shareera,58,4,15,26,29,14,7,10,3,40,0,3,1,0,0
SN,AH,shareera,59,4,15,26,30,13,8,11,3,38,0,3,1,0,0
SN,AH,shareera,60,4,15,26,29,14,9,12,3,36,0,3,1,0,0
SN,AH,shareera,61,4,16,26,27,14,9,13,2,37,0,3,1,0,0
SN,AH,shareera,62,4,17,28,28,11,8,11,2,35,0,2,1,0,0
SN,AH,shareera,63,3,17,28,28,11,8,11,2,36,0,2,1,0,0
SN,AH,shareera,64,4,17,28,28,11,7,11,2,36,0,2,1,0,0
SN,AH,shareera,65,5,17,28,27,11,7,10,2,37,0,2,1,0,0
SN,AH,shareera,66,5,17,27,26,11,8,10,2,38,0,2,1,0,0
SN,AH,shareera,67,5,17,27,26,11,8,11,2,37,0,2,1,0,0
SN,AH,shareera,68,4,18,28,26,10,8,12,1,35,0,2,1,0,0
SN,AH,shareera,69,4,18,29,28,11,9,13,0,36,1,2,1,0,0
SN,AH,shareera,70,3,19,27,26,11,11,13,0,36,1,2,1,0,0
SN,AH,shareera,71,3,19,29,26,11,11,14,1,38,1,2,1,0,0
SN,AH,shareera,72,3,20,31,26,11,11,15,1,38,1,2,0,0,0
SN,AH,shareera,73,5,20,35,29,12,13,17,1,41,2,3,0,0,0
SN,AH,shareera,74,6,20,34,27,13,14,16,1,39,2,3,0,0,0
SN,AH,shareera,75,6,19,32,30,14,15,15,1,40,2,3,0,0,0
SN,AH,shareera,76,6,19,32,28,13,16,17,1,40,2,3,0,0,0
SN,AH,shareera,77,7,18,31,28,14,17,19,1,39,2,3,0,0,0
SN,AH,shareera,78,7,19,31,26,12,17,18,1,39,2,2,0,0,0
SN,AH,shareera,79,7,18,31,28,13,17,17,1,39,3,2,0,0,0
SN,AH,shareera,80,7,19,31,29,11,16,17,1,36,3,1,0,0,0
SN,AH,shareera,81,8,19,32,28,11,15,17,1,36,3,1,0,0,0
SN,AH,shareera,82,9,19,33,27,12,14,17,1,35,3,1,0,0,0
SN,AH,shareera,83,9,19,33,27,12,13,17,1,36,3,1,0,0,0
SN,AH,shareera,84,9,19,32,27,12,13,16,1,38,3,1,0,0,0
SN,AH,shareera,85,10,18,31,30,11,13,17,1,38,3,1,0,0,0
SN,AH,shareera,86,10,18,31,31,11,13,17,1,37,3,1,0,0,0
SN,AH,shareera,87,11,18,30,31,11,13,17,1,37,3,1,0,0,0
SN,AH,shareera,88,13,18,30,31,11,13,16,1,36,3,1,0,0,0
SN,AH,shareera,89,12,17,29,34,11,13,17,1,37,3,1,0,0,0
SN,AH,shareera,90,12,17,28,33,11,14,19,1,36,3,1,0,0,0
SN,AH,shareera,91,12,16,28,33,14,14,20,1,37,3,2,0,0,0
SN,AH,shareera,92,13,16,28,31,13,15,20,1,38,3,2,0,0,0
SN,AH,shareera,93,14,15,27,29,14,15,22,1,40,3,2,0,0,0
SN,AH,shareera,94,15,16,27,27,14,15,21,1,40,2,2,0,0,0
SN,AH,shareera,95,15,15,27,30,15,15,22,1,40,2,3,0,0,0
SN,AH,shareera,96,16,16,27,31,15,15,21,0,39,2,3,0,0,0
SN,AH,shareera,97,17,15,24,32,17,15,22,0,40,2,3,0,0,0
SN,AH,shareera,98,16,16,22,29,16,14,20,0,38,1,2,0,0,0
SN,AH,shareera,99,15,16,22,29,15,13,21,0,40,1,2,0,0,0
SN,AH,shareera,100,14,17,22,26,13,12,21,0,39,1,2,0,0,0
SN,AH,shareera,101,15,17,21,27,13,11,20,0,40,1,2,0,0,0
SN,AH,shareera,102,14,17,21,26,12,10,18,0,38,1,2,0,0,0
SN,AH,shareera,103,14,16,21,26,12,10,19,1,37,1,2,0,0,0
SN,AH,shareera,104,14,17,20,24,11,10,19,1,34,0,2,0,0,0
SN,AH,shareera,105,15,17,20,25,11,10,19,1,32,0,2,0,0,0
SN,AH,shareera,106,14,17,19,25,11,11,21,1,31,0,2,0,0,0
SN,AH,shareera,107,13,17,18,28,10,11,20,1,32,0,2,0,0,0
SN,AH,shareera,108,14,17,19,28,10,11,20,1,29,1,2,0,0,0
SN,AH,shareera,109,14,17,19,29,10,10,21,1,28,1,2,0,0,0
SN,AH,shareera,110,13,18,21,27,11,9,20,1,27,1,2,0,0,0
SN,AH,shareera,111,15,18,21,26,11,10,20,1,25,1,2,0,0,0
SN,AH,shareera,112,14,18,21,24,11,11,22,1,25,1,2,0,0,0
SN,AH,shareera,113,13,17,21,24,12,11,22,2,25,1,2,0,0,0
SN,AH,shareera,114,13,18,22,22,12,11,22,2,23,1,2,0,0,0
SN,AH,shareera,115,12,17,23,23,13,12,23,2,24,1,3,0,0,0
SN,AH,shareera,116,13,18,23,23,10,12,23,2,21,1,2,0,0,0
SN,AH,shareera,117,12,17,23,25,12,13,23,2,20,1,2,0,0,0
SN,AH,shareera,118,12,18,24,25,12,13,21,2,18,1,2,0,0,0
SN,AH,shareera,119,11,18,24,27,11,12,21,2,19,1,2,0,0,0
SN,AH,shareera,120,11,19,24,25,10,10,20,2,20,1,1,0,0,0
SN,AH,shareera,121,12,18,22,27,11,10,20,2,21,1,1,0,0,0
SN,AH,shareera,122,11,19,23,26,10,10,18,2,22,1,1,0,0,0
SN,AH,shareera,123,10,18,23,28,11,10,19,2,22,1,1,0,0,0
SN,AH,shareera,124,10,18,23,28,11,10,19,2,22,1,1,0,0,0
SN,AH,shareera,125,12,18,24,28,12,10,19,2,23,1,1,0,0,0
SN,AH,shareera,126,11,18,25,28,12,10,19,2,23,1,1,0,0,0
SN,AH,shareera,127,12,19,26,29,12,10,20,2,24,1,1,0,0,0
SN,AH,shareera,128,13,20,26,30,12,10,19,1,23,1,1,0,0,0
SN,AH,shareera,129,14,20,27,31,12,10,19,1,25,1,1,0,0,0
SN,AH,shareera,130,13,20,27,32,13,9,19,1,25,1,1,0,0,0
SN,AH,shareera,131,13,20,27,34,13,8,17,1,26,1,1,0,0,0
SN,AH,shareera,132,13,20,27,32,14,8,17,1,27,1,1,0,0,0
SN,AH,shareera,133,13,20,25,31,14,9,19,1,28,0,1,0,0,0
SN,AH,shareera,134,13,19,25,29,14,9,19,2,30,0,1,0,0,0
SN,AH,shareera,135,14,18,23,30,16,9,19,2,31,0,1,0,0,0
SN,AH,shareera,136,12,18,23,30,16,9,19,2,33,0,1,0,0,0
SN,AH,shareera,137,14,17,22,33,16,9,18,2,33,0,1,0,0,0
SN,AH,shareera,138,14,18,22,33,16,9,18,1,33,0,1,0,0,0
SN,AH,shareera,139,14,17,23,33,15,10,18,2,32,0,1,0,0,0
SN,AH,shareera,140,14,18,23,32,14,9,16,2,32,0,0,0,0,0
SN,AH,shareera,141,13,18,23,31,15,9,16,2,32,1,0,0,0,0
SN,AH,shareera,142,13,19,23,29,14,7,17,2,33,1,0,0,0,0
SN,AH,shareera,143,13,18,23,31,15,7,16,2,34,1,0,0,0,0
SN,AH,shareera,144,13,18,23,29,15,7,17,2,35,1,0,0,0,0
SN,AH,shareera,145,13,18,23,29,17,7,16,2,34,1,0,0,0,0
SN,AH,shareera,146,11,19,24,27,16,7,17,2,34,1,0,0,0,0
SN,AH,shareera,147,12,18,24,26,15,8,18,3,33,1,0,0,0,0
SN,AH,shareera,148,12,19,23,24,14,8,17,3,35,1,0,0,0,0
SN,AH,shareera,149,12,18,22,24,16,9,18,3,35,1,0,0,0,0
SN,AH,shareera,150,10,18,22,26,15,10,19,3,34,1,0,0,0,0
SN,AH,shareera,151,11,17,22,27,18,10,18,3,33,1,0,0,0,0
SN,AH,shareera,152,10,17,22,26,18,11,17,3,35,1,0,0,0,0
SN,AH,shareera,153,9,17,22,27,18,11,17,3,35,1,0,0,0,0
SN,AH,shareera,154,8,17,23,27,19,11,17,3,34,1,0,0,0,0
SN,AH,shareera,155,9,16,24,25,18,11,18,4,34,1,0,0,0,0
SN,AH,shareera,156,9,16,24,25,18,11,18,4,34,1,0,0,0,0
SN,AH,shareera,157,9,15,24,28,18,11,19,4,35,1,1,0,0,0
SN,AH,shareera,158,8,15,25,30,19,10,17,4,35,1,1,0,0,0
SN,AH,shareera,159,8,16,25,31,19,11,16,3,34,1,1,0,0,0
SN,AH,shareera,160,7,17,27,30,17,11,15,3,34,1,1,0,0,0
SN,AH,shareera,161,7,16,26,34,20,10,15,3,32,1,1,0,0,0
SN,AH,shareera,162,5,17,27,32,21,9,15,3,32,1,1,0,0,0
SN,AH,shareera,163,5,16,27,34,20,9,16,3,33,1,1,0,0,0
SN,AH,shareera,164,6,17,27,33,21,8,15,2,34,1,1,0,0,0
SN,AH,shareera,165,6,17,27,34,21,7,15,2,34,1,1,0,0,0
SN,AH,shareera,166,7,17,27,35,20,7,15,2,34,0,1,0,0,0
SN,AH,shareera,167,7,16,27,36,21,8,13,2,35,1,1,0,0,0
SN,AH,shareera,168,6,17,27,33,19,9,13,2,37,1,1,0,0,0
